,nome,partido,uf,ano,pla,par,vnp,dp,pp,aup,aNj,pcom,ajcom,aNjcom
1061,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,AVANTE,PE,2022,27,0,256,0,50,25,0,2,10,8
1062,SILVIO SERAFIM COSTA FILHO,REPUBLICANOS,PE,2019,215,4,0,48,97,8,8,159,20,119
1063,SILVIO SERAFIM COSTA FILHO,REPUBLICANOS,PE,2020,33,1,388,57,94,7,1,171,5,59
1064,SILVIO SERAFIM COSTA FILHO,REPUBLICANOS,PE,2021,105,25,718,46,116,2,14,170,5,56
1065,SILVIO SERAFIM COSTA FILHO,REPUBLICANOS,PE,2022,24,2,340,5,63,5,7,29,2,6
1066,TÚLIO GADÊLHA SALES DE MELO,REDE,PE,2019,107,12,298,11,104,7,2,348,12,111
1067,TÚLIO GADÊLHA SALES DE MELO,REDE,PE,2020,242,0,393,1,98,2,2,285,26,118
1068,TÚLIO GADÊLHA SALES DE MELO,REDE,PE,2021,167,5,703,4,125,6,1,277,26,120
1069,TÚLIO GADÊLHA SALES DE MELO,REDE,PE,2022,97,0,319,75,68,7,0,44,16,44
1070,WOLNEY QUEIROZ MACIEL,PDT,PE,2019,201,0,0,4,106,0,7,29,0,57
1071,WOLNEY QUEIROZ MACIEL,PDT,PE,2020,1009,0,394,166,100,2,0,33,9,61
1072,WOLNEY QUEIROZ MACIEL,PDT,PE,2021,1118,3,758,159,126,6,0,33,9,61
1073,WOLNEY QUEIROZ MACIEL,PDT,PE,2022,58,0,347,31,69,6,0,2,2,25
1074,ÁTILA FREITAS LIRA,PP,PI,2019,370,5,305,22,107,2,4,179,1,66
1075,ÁTILA FREITAS LIRA,PP,PI,2020,3,0,394,8,99,3,0,145,2,79
1076,ÁTILA FREITAS LIRA,PP,PI,2021,52,3,762,4,132,0,0,142,2,78
1077,ÁTILA FREITAS LIRA,PP,PI,2022,27,2,289,8,61,10,4,4,0,12
1078,FABIO ABREU COSTA,PSD,PI,2019,6,0,50,1,21,0,1,70,0,5
1079,FABIO ABREU COSTA,PSD,PI,2020,13,0,282,0,49,1,1,164,1,28
1080,FABIO ABREU COSTA,PSD,PI,2021,90,12,758,12,130,1,1,164,1,29
1081,FABIO ABREU COSTA,PSD,PI,2022,26,0,354,5,73,0,2,46,0,9
1082,FLÁVIO RODRIGUES NOGUEIRA,PT,PI,2019,227,3,319,23,107,6,0,291,7,8
1083,FLÁVIO RODRIGUES NOGUEIRA,PT,PI,2020,28,0,394,7,99,3,0,208,3,49
1084,FLÁVIO RODRIGUES NOGUEIRA,PT,PI,2021,44,3,762,15,129,3,0,200,3,49
1085,FLÁVIO RODRIGUES NOGUEIRA,PT,PI,2022,26,3,356,13,74,1,0,35,0,3
1086,JÚLIO CÉSAR DE CARVALHO LIMA,PSD,PI,2019,185,3,301,69,101,10,2,113,2,46
1087,JÚLIO CÉSAR DE CARVALHO LIMA,PSD,PI,2020,33,1,394,70,99,3,0,92,1,26
1088,JÚLIO CÉSAR DE CARVALHO LIMA,PSD,PI,2021,98,27,762,61,128,0,4,91,1,26
1089,JÚLIO CÉSAR DE CARVALHO LIMA,PSD,PI,2022,43,16,351,22,69,4,2,27,1,1
1090,MARCOS AURÉLIO SAMPAIO,PSD,PI,2019,77,0,305,0,108,1,4,84,6,111
1091,MARCOS AURÉLIO SAMPAIO,PSD,PI,2020,2,0,394,0,98,3,1,53,5,116
1092,MARCOS AURÉLIO SAMPAIO,PSD,PI,2021,18,1,736,4,119,0,13,53,5,117
1093,MARCOS AURÉLIO SAMPAIO,PSD,PI,2022,4,0,333,0,70,3,2,3,5,38
1094,MARGARETE COELHO,PP,PI,2019,256,46,296,16,101,9,3,226,24,66
1095,MARGARETE COELHO,PP,PI,2020,81,1,375,40,101,1,0,193,20,103
1096,MARGARETE COELHO,PP,PI,2021,173,11,748,44,126,1,5,191,20,98
1097,MARGARETE COELHO,PP,PI,2022,26,1,305,7,64,7,4,55,5,14
1098,MARINA SANTOS BATISTA DIAS,REPUBLICANOS,PI,2019,132,5,312,1,110,2,1,96,1,61
1099,MARINA SANTOS BATISTA DIAS,REPUBLICANOS,PI,2020,24,1,394,1,101,1,0,124,1,49
1100,MARINA SANTOS BATISTA DIAS,REPUBLICANOS,PI,2021,64,5,762,3,131,0,1,125,1,49
1101,MARINA SANTOS BATISTA DIAS,REPUBLICANOS,PI,2022,20,3,348,0,73,2,0,6,1,10
1102,MERLONG SOLANO NOGUEIRA,PT,PI,2019,110,0,62,7,29,3,0,78,2,41
1103,MERLONG SOLANO NOGUEIRA,PT,PI,2020,78,0,230,8,41,0,1,191,7,76
1104,MERLONG SOLANO NOGUEIRA,PT,PI,2021,160,22,762,48,132,0,0,192,7,77
1105,MERLONG SOLANO NOGUEIRA,PT,PI,2022,45,6,341,33,66,7,2,41,5,11
1106,PAES LANDIM,UNIÃO,PI,2019,52,0,197,50,60,1,1,14,6,37
1107,PAES LANDIM,UNIÃO,PI,2020,8,0,110,17,48,3,0,0,17,18
1108,PAES LANDIM,UNIÃO,PI,2021,0,0,0,0,0,0,0,0,17,13
1109,PAES LANDIM,UNIÃO,PI,2022,2,0,119,29,34,17,0,0,17,13
1110,REJANE DIAS ,PT,PI,2019,279,4,262,22,100,13,0,253,22,23
1111,REJANE DIAS ,PT,PI,2020,450,0,392,19,96,5,1,298,1,100
1112,REJANE DIAS ,PT,PI,2021,467,22,762,42,132,0,0,292,0,101
1113,REJANE DIAS ,PT,PI,2022,174,9,341,9,73,0,2,59,0,25
1114, FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,PL,PR,2019,85,1,308,48,99,5,9,123,11,110
1115, FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,PL,PR,2020,50,0,391,2,91,6,5,106,7,95
1116, FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,PL,PR,2021,137,20,759,9,120,5,7,107,7,95
1117, FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,PL,PR,2022,83,0,320,8,65,6,4,9,1,12
1118, GILSON CARDOSO FAHUR,PSD,PR,2019,228,2,323,1,110,3,0,101,1,2
1119, GILSON CARDOSO FAHUR,PSD,PR,2020,8,0,394,1,102,0,0,82,0,3
1120, GILSON CARDOSO FAHUR,PSD,PR,2021,43,3,762,0,131,0,1,82,0,3
1121, GILSON CARDOSO FAHUR,PSD,PR,2022,32,2,356,3,75,0,0,20,0,1
1122, LUIZ GOULARTE ALVES,SOLIDARIEDADE,PR,2019,303,24,324,52,111,2,0,332,2,13
1123, LUIZ GOULARTE ALVES,SOLIDARIEDADE,PR,2020,66,0,394,34,100,1,1,347,3,13
1124, LUIZ GOULARTE ALVES,SOLIDARIEDADE,PR,2021,85,21,762,38,131,1,0,344,3,13
1125, LUIZ GOULARTE ALVES,SOLIDARIEDADE,PR,2022,59,17,342,12,68,6,1,62,3,1
1126, LUIZ HILOSHI NISHIMORI,PSD,PR,2019,104,4,283,5,91,21,1,105,17,28
1127, LUIZ HILOSHI NISHIMORI,PSD,PR,2020,16,0,389,3,100,2,0,93,8,35
1128, LUIZ HILOSHI NISHIMORI,PSD,PR,2021,31,0,747,2,127,4,1,93,8,35
1129, LUIZ HILOSHI NISHIMORI,PSD,PR,2022,12,1,296,4,57,15,3,19,5,6
1130, MARCO AURELIO RIBEIRO,PP ,PR,2019,0,0,0,0,0,0,0,0,0,0
1131, MARCO AURELIO RIBEIRO,PP ,PR,2020,0,0,0,0,0,0,0,5,0,7
1132, MARCO AURELIO RIBEIRO,PP ,PR,2021,0,0,0,0,0,0,0,5,0,7
1133, MARCO AURELIO RIBEIRO,PP ,PR,2022,6,0,47,2,21,0,2,5,0,7
1134, NEY LEPREVOST NETO,UNIÃO,PR,2019,7,0,0,0,1,0,0,0,0,0
1135, NEY LEPREVOST NETO,UNIÃO,PR,2020,31,0,99,1,27,2,0,47,4,0
1136, NEY LEPREVOST NETO,UNIÃO,PR,2021,0,0,0,0,0,0,0,47,4,0
1137, NEY LEPREVOST NETO,UNIÃO,PR,2022,56,0,188,25,42,6,1,47,4,0
1138, OSMAR JOSÉ SERRAGLIO,PP,PR,2019,2,1,0,0,0,0,0,0,0,0
1139, OSMAR JOSÉ SERRAGLIO,PP,PR,2020,0,0,0,0,0,0,0,18,1,3
1140, OSMAR JOSÉ SERRAGLIO,PP,PR,2021,4,0,204,0,44,0,0,18,1,3
1141, OSMAR JOSÉ SERRAGLIO,PP,PR,2022,17,0,341,0,73,2,0,18,1,3
1142, PAULO EDUARDO LIMA MARTINS,PL,PR,2019,76,5,320,19,112,1,0,279,6,53
1143, PAULO EDUARDO LIMA MARTINS,PL,PR,2020,28,0,394,7,102,0,0,183,0,35
1144, PAULO EDUARDO LIMA MARTINS,PL,PR,2021,133,44,761,4,130,0,2,182,0,29
1145, PAULO EDUARDO LIMA MARTINS,PL,PR,2022,40,0,354,7,74,0,1,20,0,0
1146,ALIEL MACHADO BARK,PV,PR,2019,297,3,322,106,113,0,0,240,4,91
1147,ALIEL MACHADO BARK,PV,PR,2020,91,1,392,23,101,1,0,117,7,83
1148,ALIEL MACHADO BARK,PV,PR,2021,107,22,751,23,126,2,4,113,6,79
1149,ALIEL MACHADO BARK,PV,PR,2022,15,3,347,28,71,4,0,23,4,16
1150,ALINE SLEUTJES,PROS,PR,2019,116,6,195,16,80,33,0,115,38,6
1151,ALINE SLEUTJES,PROS,PR,2020,62,2,394,39,102,0,0,85,8,14
1152,ALINE SLEUTJES,PROS,PR,2021,171,9,751,31,129,2,1,82,8,14
1153,ALINE SLEUTJES,PROS,PR,2022,40,3,293,22,64,11,0,19,7,5
1154,ANTONIO WANDSCHEER,PROS ,PR,2019,293,4,283,13,97,16,0,68,5,19
1155,ANTONIO WANDSCHEER,PROS ,PR,2020,12,0,370,0,89,12,1,53,1,14
1156,ANTONIO WANDSCHEER,PROS ,PR,2021,58,2,750,0,126,3,3,53,1,14
1157,ANTONIO WANDSCHEER,PROS ,PR,2022,6,0,316,0,65,4,6,2,0,0
1158,CHRISTIANE DE SOUZA YARED,PP,PR,2019,293,17,322,11,110,3,0,167,1,29
1159,CHRISTIANE DE SOUZA YARED,PP,PR,2020,8,0,394,3,102,0,0,153,6,31
1160,CHRISTIANE DE SOUZA YARED,PP,PR,2021,105,39,762,7,130,1,1,152,6,32
1161,CHRISTIANE DE SOUZA YARED,PP,PR,2022,34,0,315,4,66,9,0,22,6,3
1162,DIEGO ALEXSANDER GONCALO PAULA GARCIA,REPUBLICANOS ,PR,2019,534,54,316,24,111,1,1,644,12,103
1163,DIEGO ALEXSANDER GONCALO PAULA GARCIA,REPUBLICANOS ,PR,2020,56,0,394,0,102,0,0,581,3,138
1164,DIEGO ALEXSANDER GONCALO PAULA GARCIA,REPUBLICANOS ,PR,2021,234,61,762,20,132,0,0,580,3,138
1165,DIEGO ALEXSANDER GONCALO PAULA GARCIA,REPUBLICANOS ,PR,2022,124,22,336,10,72,3,0,109,3,31
1166,ENIO JOSÉ VERRI,PT,PR,2019,239,3,274,42,99,14,0,101,15,21
1167,ENIO JOSÉ VERRI,PT,PR,2020,1564,0,389,110,98,4,0,105,1,22
1168,ENIO JOSÉ VERRI,PT,PR,2021,412,0,760,99,130,2,0,105,1,22
1169,ENIO JOSÉ VERRI,PT,PR,2022,38,1,347,19,72,2,1,30,0,4
1170,FERNANDO LÚCIO GIACOBO,PL,PR,2019,59,0,228,0,70,43,0,7,18,67
1171,FERNANDO LÚCIO GIACOBO,PL,PR,2020,1,0,393,0,95,6,1,18,1,76
1172,FERNANDO LÚCIO GIACOBO,PL,PR,2021,11,1,745,0,121,0,11,18,1,76
1173,FERNANDO LÚCIO GIACOBO,PL,PR,2022,7,1,331,0,69,1,5,11,1,7
1174,GLEISI HELENA HOFFMANN,PT,PR,2019,273,0,258,52,86,27,0,91,28,66
1175,GLEISI HELENA HOFFMANN,PT,PR,2020,219,0,387,35,94,8,0,93,8,32
1176,GLEISI HELENA HOFFMANN,PT,PR,2021,227,0,746,52,129,3,0,93,8,32
1177,GLEISI HELENA HOFFMANN,PT,PR,2022,43,0,260,8,58,22,0,3,1,4
1178,GUSTAVO BONATO FRUET,PDT,PR,2019,238,14,319,7,111,2,0,184,3,2
1179,GUSTAVO BONATO FRUET,PDT,PR,2020,65,1,394,12,102,0,0,143,0,6
1180,GUSTAVO BONATO FRUET,PDT,PR,2021,119,25,762,19,132,0,0,139,0,5
1181,GUSTAVO BONATO FRUET,PDT,PR,2022,43,9,354,13,75,0,0,22,0,4
1182,HERMES PARCIANELLO,MDB ,PR,2019,129,0,310,1,113,0,0,21,0,65
1183,HERMES PARCIANELLO,MDB ,PR,2020,1,0,392,0,96,5,1,0,0,61
1184,HERMES PARCIANELLO,MDB ,PR,2021,125,0,748,0,128,0,4,0,0,62
1185,HERMES PARCIANELLO,MDB ,PR,2022,3,0,323,2,61,5,9,0,0,18
1186,JOSE AROLDO SOUZA MARTINS,REPUBLICANOS,PR,2019,290,7,308,21,103,9,1,190,21,125
1187,JOSE AROLDO SOUZA MARTINS,REPUBLICANOS,PR,2020,32,0,394,18,101,1,0,145,5,154
1188,JOSE AROLDO SOUZA MARTINS,REPUBLICANOS,PR,2021,62,8,743,25,126,2,4,145,5,154
1189,JOSE AROLDO SOUZA MARTINS,REPUBLICANOS,PR,2022,29,1,323,2,69,3,3,11,2,8
1190,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,PT,PR,2019,334,1,265,62,102,10,1,118,21,47
1191,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,PT,PR,2020,157,0,394,30,98,2,2,93,11,52
1192,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,PT,PR,2021,129,1,745,43,128,0,4,89,11,52
1193,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,PT,PR,2022,30,0,326,6,58,10,7,7,4,16
1194,LEANDRE DAL PONTE,PSD,PR,2019,276,8,276,51,87,26,0,180,35,75
1195,LEANDRE DAL PONTE,PSD,PR,2020,108,0,384,21,95,5,2,189,5,178
1196,LEANDRE DAL PONTE,PSD,PR,2021,187,28,762,18,132,0,0,189,4,178
1197,LEANDRE DAL PONTE,PSD,PR,2022,45,3,314,7,63,10,2,26,4,19
1198,LUCIANO DUCCI,PSB,PR,2019,206,6,297,1,96,2,15,141,3,121
1199,LUCIANO DUCCI,PSB,PR,2020,99,0,394,0,96,5,1,93,0,104
1200,LUCIANO DUCCI,PSB,PR,2021,92,6,741,2,129,0,3,91,0,105
1201,LUCIANO DUCCI,PSB,PR,2022,25,3,319,0,66,0,9,24,0,16
1202,LUIS FELIPE BONATTO FRANCISCHINI,UNIÃO,PR,2019,167,51,318,8,109,1,3,166,3,56
1203,LUIS FELIPE BONATTO FRANCISCHINI,UNIÃO,PR,2020,94,1,394,22,97,5,0,88,1,72
1204,LUIS FELIPE BONATTO FRANCISCHINI,UNIÃO,PR,2021,42,5,762,0,130,0,2,88,1,79
1205,LUIS FELIPE BONATTO FRANCISCHINI,UNIÃO,PR,2022,15,0,351,0,70,2,3,21,1,25
1206,LUISA CANZIANI DOS SANTOS SILVEIRA,PSD,PR,2019,303,10,286,13,100,9,4,125,16,97
1207,LUISA CANZIANI DOS SANTOS SILVEIRA,PSD,PR,2020,88,2,394,14,101,0,1,109,7,161
1208,LUISA CANZIANI DOS SANTOS SILVEIRA,PSD,PR,2021,131,19,720,32,121,1,10,106,4,157
1209,LUISA CANZIANI DOS SANTOS SILVEIRA,PSD,PR,2022,33,1,330,25,67,0,8,17,0,45
1210,NELSI COGUETTO MARIA,PL,PR,2019,258,5,322,58,104,5,4,102,29,61
1211,NELSI COGUETTO MARIA,PL,PR,2020,19,1,394,10,98,3,1,67,11,66
1212,NELSI COGUETTO MARIA,PL,PR,2021,47,3,663,12,120,8,4,68,11,65
1213,NELSI COGUETTO MARIA,PL,PR,2022,21,1,342,7,69,3,3,16,0,1
1214,PEDRO DEBONI LUPION MELLO,PP ,PR,2019,181,33,315,26,104,3,6,287,4,45
1215,PEDRO DEBONI LUPION MELLO,PP ,PR,2020,93,1,394,21,102,0,0,231,4,55
1216,PEDRO DEBONI LUPION MELLO,PP ,PR,2021,109,22,755,4,123,1,8,227,4,55
1217,PEDRO DEBONI LUPION MELLO,PP ,PR,2022,42,5,285,5,64,8,3,52,1,6
1218,RICARDO JOSÉ MAGALHÃES BARROS,PP,PR,2019,57,6,292,26,98,7,8,122,7,38
1219,RICARDO JOSÉ MAGALHÃES BARROS,PP,PR,2020,14,0,383,39,96,5,1,140,8,95
1220,RICARDO JOSÉ MAGALHÃES BARROS,PP,PR,2021,37,0,744,105,129,3,0,139,8,97
1221,RICARDO JOSÉ MAGALHÃES BARROS,PP,PR,2022,27,0,336,32,70,5,0,22,2,10
1222,RUBENS BUENO,CIDADANIA,PR,2019,381,16,299,24,98,15,0,197,16,12
1223,RUBENS BUENO,CIDADANIA,PR,2020,82,3,394,80,99,3,0,196,1,12
1224,RUBENS BUENO,CIDADANIA,PR,2021,120,9,762,15,131,1,0,196,1,12
1225,RUBENS BUENO,CIDADANIA,PR,2022,36,1,354,2,74,0,1,54,0,5
1226,SANDRO ALEX CRUZ DE OLIVEIRA,PSD,PR,2019,1,0,0,0,1,0,0,0,0,0
1227,SANDRO ALEX CRUZ DE OLIVEIRA,PSD,PR,2020,0,0,0,0,0,0,0,28,0,7
1228,SANDRO ALEX CRUZ DE OLIVEIRA,PSD,PR,2021,0,0,0,0,0,0,0,28,0,7
1229,SANDRO ALEX CRUZ DE OLIVEIRA,PSD,PR,2022,5,0,215,15,48,0,3,28,0,7
1230,SERGIO DE SOUZA,MDB ,PR,2019,118,22,302,12,108,3,2,100,2,29
1231,SERGIO DE SOUZA,MDB ,PR,2020,11,0,387,7,99,1,2,57,0,3
1232,SERGIO DE SOUZA,MDB ,PR,2021,27,0,733,8,123,2,7,57,0,2
1233,SERGIO DE SOUZA,MDB ,PR,2022,16,2,329,1,68,3,4,19,0,0
1234, LOURIVAL GOMES DE ALMEIDA,PP,RJ,2021,9,0,744,0,128,1,3,122,2,21
1235,ALESSANDRO LUCCIOLA MOLON,PSB,RJ,2019,273,0,277,109,105,8,0,11,5,27
1236,ALESSANDRO LUCCIOLA MOLON,PSB,RJ,2020,1148,0,392,250,97,5,0,18,2,34
1237,ALESSANDRO LUCCIOLA MOLON,PSB,RJ,2021,211,0,758,145,127,5,0,19,1,30
1238,ALESSANDRO LUCCIOLA MOLON,PSB,RJ,2022,24,0,354,15,74,0,1,9,0,21
1239,ALTINEU CÔRTES FREITAS COUTINHO,PL,RJ,2019,191,3,294,6,99,5,9,119,2,56
1240,ALTINEU CÔRTES FREITAS COUTINHO,PL,RJ,2020,1,0,153,0,16,0,1,19,2,22
1241,ALTINEU CÔRTES FREITAS COUTINHO,PL,RJ,2021,24,1,711,8,119,3,10,19,2,22
1242,ALTINEU CÔRTES FREITAS COUTINHO,PL,RJ,2022,223,1,325,10,59,16,0,0,0,0
1243,ANTÔNIO DA LUZ FURTADO,UNIÃO,RJ,2019,206,9,299,24,107,6,0,294,5,55
1244,ANTÔNIO DA LUZ FURTADO,UNIÃO,RJ,2020,21,0,394,1,102,0,0,238,8,46
1245,ANTÔNIO DA LUZ FURTADO,UNIÃO,RJ,2021,76,14,761,2,131,1,0,238,8,47
1246,ANTÔNIO DA LUZ FURTADO,UNIÃO,RJ,2022,48,13,354,13,73,1,1,59,6,9
1247,AUREO LIDIO MOREIRA RIBEIRO,SOLIDARIEDADE,RJ,2019,423,34,295,5,99,9,5,256,8,33
1248,AUREO LIDIO MOREIRA RIBEIRO,SOLIDARIEDADE,RJ,2020,55,1,389,3,98,2,2,193,0,17
1249,AUREO LIDIO MOREIRA RIBEIRO,SOLIDARIEDADE,RJ,2021,204,29,759,4,129,0,3,190,0,13
1250,AUREO LIDIO MOREIRA RIBEIRO,SOLIDARIEDADE,RJ,2022,80,20,335,1,70,1,4,38,0,3
1251,BENEDITA SOUZA DA SILVA SAMPAIO,PT,RJ,2019,337,17,276,183,105,5,3,179,8,96
1252,BENEDITA SOUZA DA SILVA SAMPAIO,PT,RJ,2020,273,1,367,76,98,4,0,123,41,105
1253,BENEDITA SOUZA DA SILVA SAMPAIO,PT,RJ,2021,344,24,700,135,119,12,1,125,43,105
1254,BENEDITA SOUZA DA SILVA SAMPAIO,PT,RJ,2022,69,7,116,27,28,46,1,20,17,9
