,nome,partido,uf,ano,pla,par,vnp,dp,pp,aup,aNj,pcom,ajcom,aNjcom
0,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,REPUBLICANOS,AC,2019,0,0,0,0,0,0,0,0,0,0
1,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,REPUBLICANOS,AC,2020,0,0,0,0,0,0,0,0,0,0
2,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,REPUBLICANOS,AC,2021,0,0,0,0,0,0,0,0,0,0
3,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,REPUBLICANOS,AC,2022,0,0,4,0,1,0,0,0,0,0
4,CYLMARA FERNANDES DA ROCHA GRIPP,MDB,AC,2019,257,3,324,22,110,0,3,226,1,43
5,CYLMARA FERNANDES DA ROCHA GRIPP,MDB,AC,2020,49,0,394,2,99,3,0,215,6,57
6,CYLMARA FERNANDES DA ROCHA GRIPP,MDB,AC,2021,104,11,762,7,131,1,0,210,6,55
7,CYLMARA FERNANDES DA ROCHA GRIPP,MDB,AC,2022,7,0,340,4,64,10,1,28,6,13
8,FLAVIANO FLÁVIO BAPTISTA DE MELO,MDB,AC,2019,23,1,261,2,87,19,7,39,11,25
9,FLAVIANO FLÁVIO BAPTISTA DE MELO,MDB,AC,2020,4,0,394,2,100,2,0,16,0,23
10,FLAVIANO FLÁVIO BAPTISTA DE MELO,MDB,AC,2021,10,0,757,2,130,2,0,16,0,23
11,FLAVIANO FLÁVIO BAPTISTA DE MELO,MDB,AC,2022,4,0,340,0,66,9,0,2,0,0
12,JESSICA ROJAS SALES,MDB,AC,2019,105,0,274,0,86,19,8,67,19,31
13,JESSICA ROJAS SALES,MDB,AC,2020,20,0,394,0,101,1,0,82,24,14
14,JESSICA ROJAS SALES,MDB,AC,2021,18,0,627,0,102,27,3,82,24,10
15,JESSICA ROJAS SALES,MDB,AC,2022,3,0,164,0,33,42,0,0,16,0
16,JESUS SERGIO DE MENEZES,PDT,AC,2019,587,3,289,8,107,5,1,160,5,56
17,JESUS SERGIO DE MENEZES,PDT,AC,2020,166,0,384,0,93,8,1,135,14,36
18,JESUS SERGIO DE MENEZES,PDT,AC,2021,129,11,735,2,121,6,5,134,14,36
19,JESUS SERGIO DE MENEZES,PDT,AC,2022,48,7,322,1,64,9,2,35,10,11
20,LEONARDO CUNHA DE BRITO,PT,AC,2019,1,0,0,0,0,0,0,104,0,42
21,LEONARDO CUNHA DE BRITO,PT,AC,2020,32,0,153,36,14,0,0,236,11,117
22,LEONARDO CUNHA DE BRITO,PT,AC,2021,399,15,756,128,129,3,0,236,11,118
23,LEONARDO CUNHA DE BRITO,PT,AC,2022,102,0,330,120,69,4,2,31,5,9
24,MARIA PERPÉTUA DE ALMEIDA,PCdoB,AC,2019,490,6,323,152,109,2,2,290,13,37
25,MARIA PERPÉTUA DE ALMEIDA,PCdoB,AC,2020,651,0,394,345,101,1,0,207,15,56
26,MARIA PERPÉTUA DE ALMEIDA,PCdoB,AC,2021,439,24,729,251,127,5,0,205,15,55
27,MARIA PERPÉTUA DE ALMEIDA,PCdoB,AC,2022,122,8,347,123,69,4,2,52,8,24
28,VANDA DENIR MILANI NOGUEIRA,PROS,AC,2019,253,3,281,13,100,11,2,228,22,78
29,VANDA DENIR MILANI NOGUEIRA,PROS,AC,2020,8,0,394,1,98,4,0,139,19,74
30,VANDA DENIR MILANI NOGUEIRA,PROS,AC,2021,23,1,738,2,124,7,1,136,19,72
31,VANDA DENIR MILANI NOGUEIRA,PROS,AC,2022,3,0,299,0,59,13,3,24,11,14
32,ARTHUR CÉSAR PEREIRA DE LIRA,PP,AL,2019,107,0,258,60,76,37,0,1,0,0
33,ARTHUR CÉSAR PEREIRA DE LIRA,PP,AL,2020,373,0,247,28,70,32,0,0,0,0
34,ARTHUR CÉSAR PEREIRA DE LIRA,PP,AL,2021,10,0,676,18,116,16,0,0,0,0
